Date,Price
1968-10-01,3425.0
1968-10-02,3375.0
1968-10-03,3440.0
1968-10-04,3440.0
1968-10-07,3532.0
1968-10-08,3500.0
1968-10-09,3505.0
1968-10-10,3565.0
1968-10-11,3612.0
1968-10-14,3560.0
1968-10-15,3584.0
1968-10-16,3607.0
1968-10-17,3501.0
1968-10-18,3550.0
1968-10-21,3536.0
1968-10-22,3515.0
1968-10-23,3501.0
1968-10-24,3517.0
1968-10-25,3617.0
1968-10-28,3717.0
1968-10-29,3817.0
1968-10-30,3830.0
1968-10-31,3750.0
1968-11-01,3805.0
1968-11-04,3745.0
1968-11-06,3700.0
1968-11-07,3760.0
1968-11-08,3860.0
1968-11-12,3940.0
1968-11-13,3920.0
1968-11-14,4011.0
1968-11-15,3985.0
1968-11-18,4015.0
1968-11-19,3915.0
1968-11-20,3850.0
1968-11-21,3910.0
1968-11-22,3880.0
1968-11-25,3835.0
1968-11-26,3935.0
1968-11-27,4010.0
1968-11-29,3940.0
1968-12-02,3891.0
1968-12-03,3806.0
1968-12-04,3906.0
1968-12-05,4006.0
1968-12-06,4106.0
1968-12-09,4155.0
1968-12-10,4255.0
1968-12-11,4320.0
1968-12-12,4285.0
1968-12-13,4185.0
1968-12-16,4213.0
1968-12-17,4235.0
1968-12-18,4240.0
1968-12-19,4221.0
1968-12-20,4180.0
1968-12-23,4105.0
1968-12-24,4181.0
1968-12-26,4225.0
1968-12-27,4138.0
1968-12-30,4089.0
1968-12-31,4135.0
1969-01-02,4240.0
1969-01-03,4300.0
1969-01-06,4165.0
1969-01-07,4085.0
1969-01-08,4004.0
1969-01-09,3904.0
1969-01-10,3860.0
1969-01-13,3830.0
1969-01-14,3770.0
1969-01-15,3870.0
1969-01-16,3905.0
1969-01-17,3800.0
1969-01-20,3700.0
1969-01-21,3735.0
1969-01-22,3811.0
1969-01-23,3830.0
1969-01-24,3870.0
1969-01-27,3915.0
1969-01-28,3840.0
1969-01-29,3893.0
1969-01-30,3830.0
1969-01-31,3823.0
1969-02-03,3812.0
1969-02-04,3751.0
1969-02-05,3700.0
1969-02-06,3615.0
1969-02-07,3531.0
1969-02-11,3630.0
1969-02-13,3730.0
1969-02-14,3710.0
1969-02-17,3660.0
1969-02-18,3640.0
1969-02-19,3675.0
1969-02-20,3775.0
1969-02-24,3841.0
1969-02-25,3800.0
1969-02-26,3765.0
1969-02-27,3765.0
1969-02-28,3690.0
1969-03-03,3722.0
1969-03-04,3761.0
1969-03-05,3797.0
1969-03-06,3776.0
1969-03-07,3740.0
1969-03-10,3745.0
1969-03-11,3764.0
1969-03-12,3705.0
1969-03-13,3608.0
1969-03-14,3630.0
1969-03-17,3555.0
1969-03-18,3535.0
1969-03-19,3560.0
1969-03-20,3660.0
1969-03-21,3640.0
1969-03-24,3570.0
1969-03-25,3535.0
1969-03-26,3570.0
1969-03-27,3580.0
1969-03-28,3565.0
1969-04-01,3630.0
1969-04-02,3575.0
1969-04-03,3585.0
1969-04-07,3615.0
1969-04-08,3598.0
1969-04-09,3550.0
1969-04-10,3578.0
1969-04-11,3570.0
1969-04-14,3654.0
1969-04-15,3629.0
1969-04-16,3648.0
1969-04-17,3622.0
1969-04-18,3626.0
1969-04-21,3594.0
1969-04-22,3631.0
1969-04-23,3634.0
1969-04-24,3585.0
1969-04-25,3570.0
1969-04-28,3505.0
1969-04-29,3550.0
1969-04-30,3528.0
1969-05-01,3535.0
1969-05-02,3550.0
1969-05-05,3557.0
1969-05-06,3552.0
1969-05-07,3561.0
1969-05-08,3525.0
1969-05-09,3456.0
1969-05-12,3468.0
1969-05-13,3488.0
1969-05-14,3457.0
1969-05-15,3457.0
1969-05-16,3469.0
1969-05-19,3470.0
1969-05-20,3541.0
1969-05-21,3547.0
1969-05-22,3607.0
1969-05-23,3593.0
1969-05-26,3606.0
1969-05-27,3620.0
1969-05-28,3630.0
1969-05-29,3637.0
1969-06-02,3655.0
1969-06-03,3664.0
1969-06-04,3665.0
1969-06-05,3666.0
1969-06-06,3605.0
1969-06-09,3591.0
1969-06-10,3610.0
1969-06-11,3575.0
1969-06-12,3601.0
1969-06-13,3635.0
1969-06-16,3675.0
1969-06-17,3740.0
1969-06-18,3690.0
1969-06-19,3675.0
1969-06-20,3653.0
1969-06-23,3652.0
1969-06-24,3762.0
1969-06-25,3745.0
1969-06-26,3735.0
1969-06-27,3789.0
1969-06-30,3737.0
1969-07-01,3774.0
1969-07-02,3822.0
1969-07-03,3850.0
1969-07-07,3950.0
1969-07-08,3935.0
1969-07-09,4018.0
1969-07-10,4025.0
1969-07-11,4080.0
1969-07-14,4042.0
